episode,phase,starting_stones,steps,avg_return,ema_return,win_rate,draw_rate,policy_loss,value_loss,entropy,kl_div,clip_frac,grad_norm,lr,cycle_step,last_reset_event,minimax_depth_beaten,clone_gen,active_mm_max_depth,shaping_mult,wr_vs_mm_d1,wr_vs_mm_d2,wr_vs_mm_d3,wr_vs_mm_d4,wr_vs_mm_d5,wr_vs_mm_d6,wr_vs_mm_d7,wr_vs_random,wr_vs_self,slope_angle_d1,slope_angle_d2,slope_angle_d3,slope_angle_d4,slope_angle_d5,slope_angle_d6,slope_angle_d7,samples_in_window_d1,samples_in_window_d2,samples_in_window_d3,samples_in_window_d4,samples_in_window_d5,samples_in_window_d6,samples_in_window_d7,eps_per_sec
607111,1,-1,22703168,0.3554903873511361,0.7855233208358864,0.519,0.056,0.0012014482673558017,0.368481376799204,2.117479762723369,0.0017017089849105105,0.04969870599527513,1.682453989982605,3.639344262295082e-05,0,none,2,1,1,0.9494074166666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.824,0.334,0.0,nan,nan,nan,nan,nan,nan,20,0,0,0,0,0,0,297.5480249043937
631694,1,-1,23458706,0.38305918242830994,0.7654001139155074,0.526,0.063,0.0010017508308616623,0.34078835261364776,2.1471475114425025,0.002132043714482279,0.052859099387812115,inf,3.786885245901639e-05,0,none,1,1,1,0.9473588333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.858,0.326,0.0,nan,nan,nan,nan,nan,nan,20,0,0,0,0,0,0,298.3697667126518
656275,1,-1,24255843,0.48357785101102574,0.7513090007702833,0.5585,0.085,-0.001307383848482049,0.3070281682645573,2.1807781130659816,0.0019065235586216052,0.05781888118123307,2.037135124206543,3.9344262295081964e-05,0,none,2,1,1,0.9453104166666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.856,0.4,0.0,nan,nan,nan,nan,nan,nan,20,0,0,0,0,0,0,298.90137822877887
680854,1,-1,25095683,0.5560616786687823,0.7415466346652082,0.574,0.099,-0.000521382717193947,0.2900804008756365,2.233879650206793,0.002243568614080903,0.06509412360333261,1.253296136856079,4.0819672131147536e-05,0,none,2,1,1,0.9432621666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.886,0.366,0.0,nan,nan,nan,nan,nan,nan,20,0,0,0,0,0,0,298.48684233249173
705436,1,-1,25950526,0.7333201738644973,0.7411353116251727,0.60825,0.0985,-0.002994732400919828,0.27506894921814956,2.2361793473914817,0.0026573752553236706,0.07041646284913575,2.307817220687866,4.229508196721311e-05,0,none,1,1,1,0.94119925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.866,0.408,0.0,nan,nan,nan,nan,nan,nan,20,0,0,0,0,0,0,298.0771757910924
730012,1,-1,26821144,0.7852323256557902,0.7433401623267035,0.624,0.104,-0.0028068168480870183,0.2610733900909071,2.240228143003252,0.0024434191943361874,0.07452957145869732,0.7602534294128418,4.377049180327868e-05,0,none,1,1,1,0.9391138333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86,0.4,0.0,nan,nan,nan,nan,nan,nan,20,0,0,0,0,0,0,297.68324539522877
754591,1,-1,27691274,0.8983176643262327,0.75108903742668,0.6335,0.118,-0.003607473564679148,0.256389824880494,2.2455168101522656,0.0026717742881306483,0.07920093592946176,1.0449860095977783,4.524590163934426e-05,0,none,2,1,1,0.9370109166666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.858,0.456,0.0,nan,nan,nan,nan,nan,nan,20,0,0,0,0,0,0,297.4006979004576
779172,1,-1,28548669,0.9712902837902837,0.7620990997448602,0.6585,0.112,-0.004450054515507959,0.25607788051877706,2.2131268274216427,0.0024621850877468076,0.07389876090344928,0.8018585443496704,4.672131147540983e-05,0,none,0,1,1,0.9349371666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.874,0.482,0.0,nan,nan,nan,nan,nan,nan,20,0,0,0,0,0,0,297.0747310362009
803752,1,-1,29398711,1.127843116214186,0.7803863005683265,0.699,0.113,-0.003223162260837853,0.2461052869481069,2.222747301613843,0.0027646403106902856,0.08271809895005491,1.7159714698791504,4.8196721311475404e-05,0,none,1,1,1,0.9327404166666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91,0.544,0.0,nan,nan,nan,nan,nan,nan,20,0,0,0,0,0,0,296.92181563620267
828331,1,-1,30224843,1.1507422030788863,0.7989040956938545,0.69225,0.1085,-0.005116821431347132,0.25569574359585256,2.1727950315849456,0.0028922898451199607,0.08647183014773856,1.703529715538025,4.9672131147540976e-05,0,none,2,1,1,0.9305996666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.878,0.518,0.0,nan,nan,nan,nan,nan,nan,20,0,0,0,0,0,0,297.0131943277344
